scenario,n_sample,mechanism,condition,null_case,beta_treat,beta_int,method,n_reps,true_effect,bias,mcse_bias,rmse,mcse_rmse,coverage,mcse_coverage,type1,mcse_type1,obs_rate,p_hat_min,p_hat_med,p_hat_max,w_max,ess,trunc_frac
N700_MNARstrong_correct_NULL,700,MNARstrong,correct,True,0.0,0.0,IPW,250,0.0,-0.17878637122812993,0.015993122187480963,0.3092794463030852,0.012143764572255382,0.876,0.02084456763763643,0.124,0.02084456763763643,0.6659028571428571,0.29320593422724317,0.7017135162107517,0.9213192875958002,3.5676199620834077,446.3373663753981,0.0
N700_MNARstrong_correct_NULL,700,MNARstrong,correct,True,0.0,0.0,AIPW,250,0.0,-0.1677523342441501,0.012883869245445509,0.26357802116462875,0.009697603189870086,0.872,0.02112969474460055,0.128,0.02112969474460055,0.6659028571428571,0.29320593422724317,0.7017135162107517,0.9213192875958002,3.5676199620834077,446.3373663753981,0.0
N700_MNARstrong_missing_misspec_ALT,700,MNARstrong,missing_misspec,False,0.45,0.28,CC,250,0.41382823521152323,-0.18499555840589862,0.013029798641931066,0.27658180370295177,0.010961998858987425,0.856,0.022204864331943127,,,0.6511771428571428,,,,,,
N700_MNARstrong_missing_misspec_ALT,700,MNARstrong,missing_misspec,False,0.45,0.28,OM,250,0.41382823521152323,-0.1165364794811318,0.012581889732534669,0.2302138883973552,0.010134526340802561,0.916,0.017543545821754502,,,0.6511771428571428,,,,,,
N700_MNARstrong_missing_misspec_ALT,700,MNARstrong,missing_misspec,False,0.45,0.28,IPW,250,0.41382823521152323,-0.18493718557023733,0.014705250963722327,0.29672650652957927,0.012864876358659976,0.872,0.02112969474460055,,,0.6511771428571428,0.4357139318836477,0.6641227958100542,0.7971368101628533,2.3506059630228537,450.2081397773695,0.0
N700_MNARstrong_missing_misspec_ALT,700,MNARstrong,missing_misspec,False,0.45,0.28,AIPW,250,0.41382823521152323,-0.11903332379636877,0.012487231586073193,0.23020803503002008,0.009976252675277268,0.92,0.01715808847162177,,,0.6511771428571428,0.4357139318836477,0.6641227958100542,0.7971368101628533,2.3506059630228537,450.2081397773695,0.0
N700_MNARstrong_missing_misspec_NULL,700,MNARstrong,missing_misspec,True,0.0,0.0,CC,250,0.0,-0.15420671909853456,0.01363317091201236,0.26468790328432684,0.010062187014914088,0.868,0.021408035874409405,0.132,0.021408035874409405,0.6670971428571429,,,,,,
N700_MNARstrong_missing_misspec_NULL,700,MNARstrong,missing_misspec,True,0.0,0.0,OM,250,0.0,-0.14640064354643778,0.013359358186106222,0.2566569476282247,0.010131032372070447,0.884,0.020252802275240827,0.116,0.020252802275240827,0.6670971428571429,,,,,,
N700_MNARstrong_missing_misspec_NULL,700,MNARstrong,missing_misspec,True,0.0,0.0,IPW,250,0.0,-0.17541026340318722,0.016208630210621678,0.3101386208456475,0.012388460448687551,0.856,0.022204864331943127,0.144,0.022204864331943124,0.6670971428571429,0.4563478858339178,0.678683912362508,0.8011387024994872,2.23581146938681,462.41099403305697,0.0
N700_MNARstrong_missing_misspec_NULL,700,MNARstrong,missing_misspec,True,0.0,0.0,AIPW,250,0.0,-0.1467734394930546,0.013488251905199825,0.25854157202603784,0.010214969307163391,0.888,0.0199455258140767,0.112,0.0199455258140767,0.6670971428571429,0.4563478858339178,0.678683912362508,0.8011387024994872,2.23581146938681,462.41099403305697,0.0
N700_MNARstrong_outcome_misspec_ALT,700,MNARstrong,outcome_misspec,False,0.45,0.28,CC,250,0.41382823521152323,-0.1806510154704709,0.012907359017912824,0.27224652188415355,0.010432443004874349,0.86,0.021945386758952325,,,0.6520514285714286,,,,,,
N700_MNARstrong_outcome_misspec_ALT,700,MNARstrong,outcome_misspec,False,0.45,0.28,OM,250,0.41382823521152323,-0.13769053922309502,0.012018994356079997,0.23436784058203441,0.01000040694443826,0.9,0.018973665961010272,,,0.6520514285714286,,,,,,
N700_MNARstrong_outcome_misspec_ALT,700,MNARstrong,outcome_misspec,False,0.45,0.28,IPW,250,0.41382823521152323,-0.14222233202062823,0.015211076147479508,0.2789982513904458,0.010901883558484057,0.904,0.018631586083852333,,,0.6520514285714286,0.26746964350234287,0.6928558101410921,0.9268689410083175,3.9319228469767906,432.4847636077597,5.7142857142857145e-06
N700_MNARstrong_outcome_misspec_ALT,700,MNARstrong,outcome_misspec,False,0.45,0.28,AIPW,250,0.41382823521152323,-0.10170484771273781,0.012191790361752176,0.21761244071117486,0.009878894300043926,0.944,0.014541526742402262,,,0.6520514285714286,0.26746964350234287,0.6928558101410921,0.9268689410083175,3.9319228469767906,432.4847636077597,5.7142857142857145e-06
N700_MNARstrong_outcome_misspec_NULL,700,MNARstrong,outcome_misspec,True,0.0,0.0,CC,250,0.0,-0.17664681782710476,0.012868409523015394,0.26914214310991624,0.011151275007919287,0.868,0.021408035874409405,0.132,0.021408035874409405,0.6654914285714286,,,,,,
N700_MNARstrong_outcome_misspec_NULL,700,MNARstrong,outcome_misspec,True,0.0,0.0,OM,250,0.0,-0.16218534149541144,0.012415140293606007,0.2543302506878668,0.011447957685217655,0.872,0.02112969474460055,0.128,0.02112969474460055,0.6654914285714286,,,,,,
N700_MNARstrong_outcome_misspec_NULL,700,MNARstrong,outcome_misspec,True,0.0,0.0,IPW,250,0.0,-0.1802704985186183,0.015444834750861522,0.3031412869208427,0.012235551880014546,0.9,0.018973665961010272,0.1,0.018973665961010275,0.6654914285714286,0.2978211073527661,0.7005173158964808,0.9205484250983864,3.4951667784865412,446.49750653817523,0.0
N700_MNARstrong_outcome_misspec_NULL,700,MNARstrong,outcome_misspec,True,0.0,0.0,AIPW,250,0.0,-0.16750441274239986,0.01297860781144015,0.2645757910471911,0.011748283355600094,0.876,0.02084456763763643,0.124,0.02084456763763643,0.6654914285714286,0.2978211073527661,0.7005173158964808,0.9205484250983864,3.4951667784865412,446.49750653817523,0.0
N700_MNARyOnly_both_misspec_ALT,700,MNARyOnly,both_misspec,False,0.45,0.28,CC,250,0.41382823521152323,-0.004643646766293882,0.013226278309140955,0.2087588045929857,0.010313667893611241,0.944,0.014541526742402262,,,0.6716342857142857,,,,,,
N700_MNARyOnly_both_misspec_ALT,700,MNARyOnly,both_misspec,False,0.45,0.28,OM,250,0.41382823521152323,0.008527755942847217,0.012407071800869196,0.1959659278005484,0.00971740949016434,0.936,0.01547953487673321,,,0.6716342857142857,,,,,,
N700_MNARyOnly_both_misspec_ALT,700,MNARyOnly,both_misspec,False,0.45,0.28,IPW,250,0.41382823521152323,-0.01819992292843782,0.015071170032881673,0.2385144410060923,0.01206082459458808,0.936,0.01547953487673321,,,0.6716342857142857,0.46723227766292286,0.6827011651920742,0.799137868212123,2.186514207048395,465.96901137800705,0.0
N700_MNARyOnly_both_misspec_ALT,700,MNARyOnly,both_misspec,False,0.45,0.28,AIPW,250,0.41382823521152323,0.0077345685997335795,0.012427471208838768,0.19625466025653152,0.00970854577485577,0.932,0.01592180894245374,,,0.6716342857142857,0.46723227766292286,0.6827011651920742,0.799137868212123,2.186514207048395,465.96901137800705,0.0
N700_MNARyOnly_both_misspec_NULL,700,MNARyOnly,both_misspec,True,0.0,0.0,CC,250,0.0,0.01247305717776898,0.012244920226135774,0.19362375091946418,0.008127590658733683,0.984,0.00793574193128784,0.016,0.007935741931287836,0.6860342857142857,,,,,,
N700_MNARyOnly_both_misspec_NULL,700,MNARyOnly,both_misspec,True,0.0,0.0,OM,250,0.0,0.007829266813125653,0.011337771905204179,0.17907825186399928,0.008355200099734271,0.972,0.010433791257256401,0.028,0.010433791257256396,0.6860342857142857,,,,,,
N700_MNARyOnly_both_misspec_NULL,700,MNARyOnly,both_misspec,True,0.0,0.0,IPW,250,0.0,0.011293693584300993,0.014289748906167457,0.22577108216355624,0.009484571365053525,0.972,0.010433791257256401,0.028,0.010433791257256396,0.6860342857142857,0.48738587894890434,0.6967912381130229,0.8096357652481844,2.094446076282156,476.4005763585374,0.0
N700_MNARyOnly_both_misspec_NULL,700,MNARyOnly,both_misspec,True,0.0,0.0,AIPW,250,0.0,0.008552469446388317,0.011357226089626318,0.17941795969719054,0.008339645962371512,0.976,0.009679669415842676,0.024,0.009679669415842671,0.6860342857142857,0.48738587894890434,0.6967912381130229,0.8096357652481844,2.094446076282156,476.4005763585374,0.0
N700_MNARyOnly_correct_ALT,700,MNARyOnly,correct,False,0.45,0.28,CC,250,0.41382823521152323,-0.009962340002519596,0.01393082518828452,0.22005034181871855,0.009067961653775592,0.928,0.01634821091128934,,,0.6745771428571428,,,,,,
